quest_id,chapter,region,level,title,objective_type,objective,reward,prerequisite
MQ_01_01,Prologue,Dawnwatch Village,1,Prologue: Adım 1,Talk,Dawnwatch Village içindeki hikâye hedefi 1,"XP tier 1, Gold, story flag MQ_01_01",MQ_01_01
MQ_01_02,Prologue,Dawnwatch Village,2,Prologue: Adım 2,Kill,Dawnwatch Village içindeki hikâye hedefi 2,"XP tier 1, Gold, story flag MQ_01_02",MQ_01_01
MQ_01_03,Prologue,Dawnwatch Village,3,Prologue: Adım 3,Collect,Dawnwatch Village içindeki hikâye hedefi 3,"XP tier 1, Gold, story flag MQ_01_03",MQ_01_02
MQ_01_04,Prologue,Dawnwatch Village,4,Prologue: Adım 4,Investigate,Dawnwatch Village içindeki hikâye hedefi 4,"XP tier 1, Gold, story flag MQ_01_04",MQ_01_03
MQ_01_05,Prologue,Dawnwatch Village,5,Prologue: Adım 5,Defend,Dawnwatch Village içindeki hikâye hedefi 5,"XP tier 1, Gold, story flag MQ_01_05",MQ_01_04
MQ_01_06,Prologue,Dawnwatch Village,6,Prologue: Adım 6,Escort,Dawnwatch Village içindeki hikâye hedefi 6,"XP tier 1, Gold, story flag MQ_01_06",MQ_01_05
MQ_01_07,Prologue,Dawnwatch Village,7,Prologue: Adım 7,Activate,Dawnwatch Village içindeki hikâye hedefi 7,"XP tier 1, Gold, story flag MQ_01_07",MQ_01_06
MQ_01_08,Prologue,Dawnwatch Village,8,Prologue: Adım 8,Boss,Dawnwatch Village içindeki hikâye hedefi 8,"XP tier 1, Gold, story flag MQ_01_08",MQ_01_07
MQ_02_01,The Briar Wakes,Verdant Trail,5,The Briar Wakes: Adım 1,Talk,Verdant Trail içindeki hikâye hedefi 1,"XP tier 2, Gold, story flag MQ_02_01",MQ_02_01
MQ_02_02,The Briar Wakes,Verdant Trail,6,The Briar Wakes: Adım 2,Kill,Verdant Trail içindeki hikâye hedefi 2,"XP tier 2, Gold, story flag MQ_02_02",MQ_02_01
MQ_02_03,The Briar Wakes,Verdant Trail,7,The Briar Wakes: Adım 3,Collect,Verdant Trail içindeki hikâye hedefi 3,"XP tier 2, Gold, story flag MQ_02_03",MQ_02_02
MQ_02_04,The Briar Wakes,Verdant Trail,8,The Briar Wakes: Adım 4,Investigate,Verdant Trail içindeki hikâye hedefi 4,"XP tier 2, Gold, story flag MQ_02_04",MQ_02_03
MQ_02_05,The Briar Wakes,Verdant Trail,9,The Briar Wakes: Adım 5,Defend,Verdant Trail içindeki hikâye hedefi 5,"XP tier 2, Gold, story flag MQ_02_05",MQ_02_04
MQ_02_06,The Briar Wakes,Verdant Trail,10,The Briar Wakes: Adım 6,Escort,Verdant Trail içindeki hikâye hedefi 6,"XP tier 2, Gold, story flag MQ_02_06",MQ_02_05
MQ_02_07,The Briar Wakes,Verdant Trail,11,The Briar Wakes: Adım 7,Activate,Verdant Trail içindeki hikâye hedefi 7,"XP tier 2, Gold, story flag MQ_02_07",MQ_02_06
MQ_02_08,The Briar Wakes,Verdant Trail,12,The Briar Wakes: Adım 8,Boss,Verdant Trail içindeki hikâye hedefi 8,"XP tier 2, Gold, story flag MQ_02_08",MQ_02_07
MQ_03_01,Lanterns in the Mire,Moonfen Marsh,20,Lanterns in the Mire: Adım 1,Talk,Moonfen Marsh içindeki hikâye hedefi 1,"XP tier 3, Gold, story flag MQ_03_01",MQ_03_01
MQ_03_02,Lanterns in the Mire,Moonfen Marsh,21,Lanterns in the Mire: Adım 2,Kill,Moonfen Marsh içindeki hikâye hedefi 2,"XP tier 3, Gold, story flag MQ_03_02",MQ_03_01
MQ_03_03,Lanterns in the Mire,Moonfen Marsh,22,Lanterns in the Mire: Adım 3,Collect,Moonfen Marsh içindeki hikâye hedefi 3,"XP tier 3, Gold, story flag MQ_03_03",MQ_03_02
MQ_03_04,Lanterns in the Mire,Moonfen Marsh,23,Lanterns in the Mire: Adım 4,Investigate,Moonfen Marsh içindeki hikâye hedefi 4,"XP tier 3, Gold, story flag MQ_03_04",MQ_03_03
MQ_03_05,Lanterns in the Mire,Moonfen Marsh,24,Lanterns in the Mire: Adım 5,Defend,Moonfen Marsh içindeki hikâye hedefi 5,"XP tier 3, Gold, story flag MQ_03_05",MQ_03_04
MQ_03_06,Lanterns in the Mire,Moonfen Marsh,25,Lanterns in the Mire: Adım 6,Escort,Moonfen Marsh içindeki hikâye hedefi 6,"XP tier 3, Gold, story flag MQ_03_06",MQ_03_05
MQ_03_07,Lanterns in the Mire,Moonfen Marsh,26,Lanterns in the Mire: Adım 7,Activate,Moonfen Marsh içindeki hikâye hedefi 7,"XP tier 3, Gold, story flag MQ_03_07",MQ_03_06
MQ_03_08,Lanterns in the Mire,Moonfen Marsh,27,Lanterns in the Mire: Adım 8,Boss,Moonfen Marsh içindeki hikâye hedefi 8,"XP tier 3, Gold, story flag MQ_03_08",MQ_03_07
MQ_04_01,Ashes of the Legion,Ashen Wastes,25,Ashes of the Legion: Adım 1,Talk,Ashen Wastes içindeki hikâye hedefi 1,"XP tier 4, Gold, story flag MQ_04_01",MQ_04_01
